group,ligand_id,system,best_affinity_kcal_mol,min_distance_to_key_residues_A,n_contacted_key_residues_4A,contacted_key_residues_4A,n_near_key_residues_6A,near_key_residues_6A,n_contacted_chains_4A,n_near_chains_6A,composite_score,pose_file
candidate,17.3,40chol,-5.82,2.151,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,14.175,C:\TRKB_WP2\docking\results_batch\40chol\17.3_40chol_out.pdbqt
candidate,17.4,40chol,-5.807,2.302,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,13.516,C:\TRKB_WP2\docking\results_batch\40chol\17.4_40chol_out.pdbqt
candidate,18.1,40chol,-5.703,2.953,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,13.217,C:\TRKB_WP2\docking\results_batch\40chol\18.1_40chol_out.pdbqt
candidate,18.2,40chol,-6.491,2.787,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,14.055,C:\TRKB_WP2\docking\results_batch\40chol\18.2_40chol_out.pdbqt
candidate,18.3,40chol,-5.907,3.042,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,13.394,C:\TRKB_WP2\docking\results_batch\40chol\18.3_40chol_out.pdbqt
candidate,18.4,40chol,-5.677,2.828,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,13.229,C:\TRKB_WP2\docking\results_batch\40chol\18.4_40chol_out.pdbqt
candidate,19.1,40chol,-6.088,2.516,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,14.333,C:\TRKB_WP2\docking\results_batch\40chol\19.1_40chol_out.pdbqt
candidate,19.2,40chol,-6.127,2.426,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,14.399,C:\TRKB_WP2\docking\results_batch\40chol\19.2_40chol_out.pdbqt
candidate,2.1,40chol,-5.326,2.739,2,TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,1,2,14.104,C:\TRKB_WP2\docking\results_batch\40chol\2.1_40chol_out.pdbqt
candidate,2.2,40chol,-5.776,2.655,2,TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,1,2,14.579,C:\TRKB_WP2\docking\results_batch\40chol\2.2_40chol_out.pdbqt
candidate,2.3,40chol,-5.479,3.005,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,13.577,C:\TRKB_WP2\docking\results_batch\40chol\2.3_40chol_out.pdbqt
candidate,2.4,40chol,-5.391,2.936,2,TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,1,2,14.110,C:\TRKB_WP2\docking\results_batch\40chol\2.4_40chol_out.pdbqt
candidate,20.1,40chol,-5.396,2.417,2,TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,1,2,14.271,C:\TRKB_WP2\docking\results_batch\40chol\20.1_40chol_out.pdbqt
candidate,20.2,40chol,-5.172,2.686,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.966,C:\TRKB_WP2\docking\results_batch\40chol\20.2_40chol_out.pdbqt
